Category,Category_AR,Subcategory,Subcategory_AR,Product Name,Product Name_AR,Product Description,Product Description_AR,Unit,Unit_AR,July,August,September,October,November,December,Notes,Notes_AR
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose elastic waterproof paint,دهان مرن متعدد الاستخدامات مقاوم للمياه,Elastic waterproof paint for harsh conditions,دهان مرن مقاوم للمياه للظروف القاسية,Kg,كيلو جرام,113,113,113,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose elastic waterproof nano-technology paint,دهان مرن متعدد الاستخدامات مقاوم للمياه بتقنية النانو,Elastic waterproof nano-technology paint,دهان مرن مقاوم للمياه بتقنية النانو,Kg,كيلو جرام,136,136,136,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Insulating Materials,مواد عازلة,Paints,دهانات,Multi-purpose natural powder (1x4) (sealer-putty-coating-paint),بودرة طبيعية متعددة الاستخدامات (1×4) (سيلر-معجون-طلاء-دهان),Multi-purpose natural powder for various applications,بودرة طبيعية متعددة الاستخدامات لتطبيقات مختلفة,Kg,كيلو جرام,42.5,42.5,42.5,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Micron metal binding material,مادة ربط معدنية ميكرونية,Paint with micron metal binding material,دهان بمادة ربط معدنية ميكرونية,Kg,كيلو جرام,34,34,34,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Insulating Materials,مواد عازلة,Paints,دهانات,Micron metal binding material with natural marble filler,مادة ربط معدنية ميكرونية بحشو رخام طبيعي,Coating with micron metal binding material and marble filler,طلاء بمادة ربط معدنية ميكرونية وحشو رخام,Kg,كيلو جرام,34,34,34,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Trina Solar 575W,ترينا سولار 575 واط,Solar panel,لوح شمسي,Watt,واط,6.8,6.8,6.85,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Jinko 560W,جينكو 560 واط,Solar panel,لوح شمسي,Watt,واط,7.1,7.1,6.85,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,Sun Tech 605W,صن تك 605 واط,Solar panel,لوح شمسي,Watt,واط,6.85,6.85,6.75,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cells,خلايا شمسية,GA 605W,جي إيه 605 واط,Solar panel,لوح شمسي,Watt,واط,6.85,6.85,6.75,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 20A,PWM 12 فولت/24 فولت أوتوماتيك 20 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,236,236,236,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 30A,PWM 12 فولت/24 فولت أوتوماتيك 30 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,280,280,280,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V AUTO 50A,PWM 12 فولت/24 فولت أوتوماتيك 50 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,858,858,858,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,PWM 12V/24V/48V AUTO 60A,PWM 12 فولت/24 فولت/48 فولت أوتوماتيك 60 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,1911,1911,1911,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,MPPT 12V/24V AUTO 40A,MPPT 12 فولت/24 فولت أوتوماتيك 40 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,4160,4160,4160,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Controllers,وحدات تحكم,MPPT 12V/24V/48V AUTO 60A,MPPT 12 فولت/24 فولت/48 فولت أوتوماتيك 60 أمبير,Solar charge controller,وحدة تحكم شحن شمسي,Unit,وحدة,5200,5200,5200,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 100Ah,نيو ماكس 100 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,11650,11650,11650,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 150Ah,نيو ماكس 150 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,14250,14250,14250,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,New Max 200Ah,نيو ماكس 200 أمبير,Deep cycle battery,بطارية دورة عميقة,Unit,وحدة,17800,17800,17800,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 100Ah,جل 100 أمبير,Gel battery,بطارية جل,Unit,وحدة,10000,10000,10000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 150Ah,جل 150 أمبير,Gel battery,بطارية جل,Unit,وحدة,13000,13000,13000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Batteries,بطاريات,Gel 200Ah,جل 200 أمبير,Gel battery,بطارية جل,Unit,وحدة,15000,15000,15000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (2KW/PWM 50A),ماست (2 كيلو واط/PWM 50 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,8630,8630,8630,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (3KW/PWM 60A),ماست (3 كيلو واط/PWM 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,10194,10194,10194,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (5.2KW/PWM 80A),ماست (5.2 كيلو واط/PWM 80 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,19394,19394,19394,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (2KW/MPPT 50A),ماست (2 كيلو واط/MPPT 50 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,10182,10182,10182,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,MUST (3KW/MPPT 60A),ماست (3 كيلو واط/MPPT 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,12082,12082,12082,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (3KW/MPPT 60A),فيتشي (3 كيلو واط/MPPT 60 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,12650,12650,12650,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (5KW/100A PRO),فيتشي (5 كيلو واط/100 أمبير برو),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,22900,22900,22900,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Inverters,إنفرترات,VEICHI (10.2KW/MPPT 160A),فيتشي (10.2 كيلو واط/MPPT 160 أمبير),Off-grid inverter,إنفرتر منفصل عن الشبكة,Unit,وحدة,55000,55000,55000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Protection Panels,لوحات حماية,Sun Tree 5HP capacity,صن تري سعة 5 حصان,Solar protection panel,لوحة حماية شمسية,Unit,وحدة,4890,4890,4890,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Protection Panels,لوحات حماية,Sun Tree 10HP capacity,صن تري سعة 10 حصان,Solar protection panel,لوحة حماية شمسية,Unit,وحدة,5500,5500,5500,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Protection Panels,لوحات حماية,Sun Tree 15HP capacity,صن تري سعة 15 حصان,Solar protection panel,لوحة حماية شمسية,Unit,وحدة,6722,6722,6722,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,TOP Cable 4mm,توب كابل 4 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,48,48,48,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,TOP Cable 6mm,توب كابل 6 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,63,63,63,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,TOP Cable 10mm,توب كابل 10 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,166,166,166,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,Safel 4mm,سافل 4 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,48,48,48,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,Safel 6mm,سافل 6 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,63,63,63,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,Safel 10mm,سافل 10 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,166,166,166,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Cables,كابلات شمسية,Safel 16mm,سافل 16 مم,Solar cable,كابل شمسي,Linear meter,متر طولي,234,234,234,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Structures,هياكل شمسية,Hot-dip galvanized fixed structure,هيكل ثابت مجلفن بالغمس الساخن,Solar panel mounting structure,هيكل تركيب الألواح الشمسية,KW,كيلو واط,1400,1400,1400,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Energy Systems,أنظمة الطاقة الشمسية,Solar Structures,هياكل شمسية,Cold galvanized fixed structure,هيكل ثابت مجلفن على البارد,Solar panel mounting structure,هيكل تركيب الألواح الشمسية,KW,كيلو واط,1450,1450,1450,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Apolon brand,ماركة أبولون,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,76725,76725,76725,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Delpaso brand,ماركة ديلباسو,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,75000,75000,75000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Termica brand,ماركة ترميكا,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,55800,55800,55800,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Eurostar brand,ماركة يوروستار,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,55800,55800,55800,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Spanish Termicol brand,ماركة ترميكول الإسبانية,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,98000,98000,98000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,200L Capacity,سعة 200 لتر,Pyramids brand,ماركة بيراميدز,200L solar water heater,سخان مياه شمسي 200 لتر,Unit,وحدة,66000,66000,66000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,300L Capacity,سعة 300 لتر,Solex brand,ماركة سولكس,300L solar water heater,سخان مياه شمسي 300 لتر,Unit,وحدة,141360,141360,141360,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,300L Capacity,سعة 300 لتر,Apolon brand,ماركة أبولون,300L solar water heater,سخان مياه شمسي 300 لتر,Unit,وحدة,122760,122760,122760,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,300L Capacity,سعة 300 لتر,Ariston brand,ماركة أريستون,300L solar water heater,سخان مياه شمسي 300 لتر,Unit,وحدة,95906.3,95906.3,95906.3,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,300L Capacity,سعة 300 لتر,Spanish Termicol brand,ماركة ترميكول الإسبانية,300L solar water heater,سخان مياه شمسي 300 لتر,Unit,وحدة,155000,155000,155000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Solar Water Heaters,سخانات مياه شمسية,300L Capacity,سعة 300 لتر,Pyramids brand,ماركة بيراميدز,300L solar water heater,سخان مياه شمسي 300 لتر,Unit,وحدة,80000,80000,80000,,,,Price varies with exchange rate,السعر يتغير حسب سعر الصرف
Special Use Materials,مواد للاستخدامات الخاصة,Radiation Shielding,عزل الإشعاع,Gamma 600 radiation shielding plaster for X-ray rooms,محارة عزل إشعاع جاما 600 لغرف الأشعة السينية,Radiation shielding plaster,محارة عازلة للإشعاع,Kg,كيلو جرام,65,65,79.8,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Special Use Materials,مواد للاستخدامات الخاصة,Radiation Shielding,عزل الإشعاع,Gamma 660 radiation shielding panels for X-ray rooms,ألواح عزل إشعاع جاما 660 لغرف الأشعة السينية,Radiation shielding panels,ألواح عازلة للإشعاع,m²,متر مربع,2750,2750,2850,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Brick,طوب زجاجي,White glass brick,طوب زجاجي أبيض,Glass brick for natural light transmission,طوب زجاجي لنفاذ الضوء الطبيعي,Brick,طوبة,135,135,140.5,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Brick,طوب زجاجي,Colored glass brick,طوب زجاجي ملون,Glass brick for natural light transmission,طوب زجاجي لنفاذ الضوء الطبيعي,Brick,طوبة,200,200,211,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Substitute,بديل الزجاج,German crystal panel 2.5mm (5.8x2.10m panel),لوح كريستال ألماني 2.5 مم (لوح 5.8×2.10 م),Polycarbonate panel as glass substitute,لوح بولي كربونات كبديل للزجاج,Panel,لوح,5150,5150,5150,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Substitute,بديل الزجاج,Colored crystal panel 2mm (5.80x2.10m panel),لوح كريستال ملون 2 مم (لوح 5.80×2.10 م),Polycarbonate panel as glass substitute,لوح بولي كربونات كبديل للزجاج,Panel,لوح,3100,3100,3100,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Substitute,بديل الزجاج,German hollow panel 6mm (5.8x2.1m panel),لوح مفرغ ألماني 6 مم (لوح 5.8×2.1 م),Polycarbonate panel as glass substitute,لوح بولي كربونات كبديل للزجاج,Panel,لوح,2550,2550,2550,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Substitute,بديل الزجاج,Hollow panel 5.5mm (5.8x2.1m panel),لوح مفرغ 5.5 مم (لوح 5.8×2.1 م),Polycarbonate panel as glass substitute,لوح بولي كربونات كبديل للزجاج,Panel,لوح,1525,1525,1525,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Finishing Materials,مواد التشطيب,Glass Substitute,بديل الزجاج,Hollow panel 4.5mm (5.8x2.1m panel),لوح مفرغ 4.5 مم (لوح 5.8×2.1 م),Polycarbonate panel as glass substitute,لوح بولي كربونات كبديل للزجاج,Panel,لوح,1350,1350,1350,,,,Price includes VAT without transportation,السعر شامل ضريبة القيمة المضافة بدون النقل
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Spot lamp 60W 2700 lumen,لمبة سبوت 60 واط 2700 لومن,Indoor spot lamp,لمبة سبوت داخلية,Unit,وحدة,44,44,44,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Spot lamp 60W 3600 lumen,لمبة سبوت 60 واط 3600 لومن,Indoor spot lamp,لمبة سبوت داخلية,Unit,وحدة,49,49,49,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Tube lamp 20W 2500 lumen,لمبة أنبوبية 20 واط 2500 لومن,Indoor tube lamp,لمبة أنبوبية داخلية,Unit,وحدة,108,108,108,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Panel lamp 48W 5664 lumen,لمبة بانل 48 واط 5664 لومن,Indoor panel lamp,لمبة بانل داخلية,Unit,وحدة,855,855,855,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Panel lamp 48W 4800 lumen,لمبة بانل 48 واط 4800 لومن,Indoor panel lamp,لمبة بانل داخلية,Unit,وحدة,741,741,741,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Panel lamp 42W 5040 lumen,لمبة بانل 42 واط 5040 لومن,Indoor panel lamp,لمبة بانل داخلية,Unit,وحدة,1083,1083,1083,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Indoor Lighting,إضاءة داخلية,Panel lamp 48W 5760 lumen,لمبة بانل 48 واط 5760 لومن,Indoor panel lamp,لمبة بانل داخلية,Unit,وحدة,1425,1425,1425,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Facade Lighting,إضاءة واجهات,Facade light 100W 13000 lumen,كشاف واجهات 100 واط 13000 لومن,Facade lighting,إضاءة واجهات,Unit,وحدة,1311,1311,1311,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
