Category,Subcategory,Item,Specification,Unit,Price Range (EGP),Notes,Quality Grade,Region Applicable,Last Updated
Building Materials,Concrete & Aggregates,Sand,Clean,m³,"200 - 350",N/A,N/A,N/A,December 2025
Building Materials,Concrete & Aggregates,Gravel/Crushed Stone,N/A,m³,"250 - 400",N/A,N/A,N/A,December 2025
Building Materials,Concrete & Aggregates,Clean Fill,N/A,m³,"80 - 150",N/A,N/A,N/A,December 2025

Building Materials,Bricks & Blocks,Red Brick,25x12x6 cm,1000 units,"3,500 - 4,500",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Hollow Concrete Block,20cm,m²,"45 - 65",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Hollow Concrete Block,15cm,m²,"40 - 55",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Hollow Concrete Block,10cm,m²,"35 - 48",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Solid Concrete Block,N/A,m²,"55 - 75",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Autoclaved Aerated Concrete,AAC,m³,"2,200 - 2,800",N/A,N/A,N/A,December 2025
Building Materials,Bricks & Blocks,Insulated Blocks,N/A,m²,"80 - 120",N/A,N/A,N/A,December 2025

Building Materials,Plastering & Finishing,Cement Plaster,Manual,m²,"45 - 65",N/A,N/A,N/A,December 2025
Building Materials,Plastering & Finishing,Cement Plaster,Machine,m²,"55 - 75",N/A,N/A,N/A,December 2025
Building Materials,Plastering & Finishing,Gypsum Plaster,N/A,m²,"40 - 60",N/A,N/A,N/A,December 2025
Building Materials,Plastering & Finishing,Acrylic Plaster,External,m²,"80 - 120",N/A,N/A,N/A,December 2025
Building Materials,Plastering & Finishing,Skim Coat,Final Layer,m²,"25 - 40",N/A,N/A,N/A,December 2025

Building Materials,Floor Tiles & Finishes,Ceramic Tiles,Economy,m²,"80 - 150",N/A,Economy,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Ceramic Tiles,Standard,m²,"150 - 250",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Ceramic Tiles,Premium,m²,"250 - 400",N/A,Premium,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Porcelain Tiles,Standard,m²,"200 - 350",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Porcelain Tiles,Premium,m²,"350 - 600",N/A,Premium,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Porcelain Tiles,Luxury,m²,"600 - 1,200",N/A,Luxury,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Granite,Local,m²,"400 - 700",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Granite,Imported,m²,"700 - 1,500",N/A,Premium,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Marble,Local,m²,"500 - 900",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Marble,Imported,m²,"900 - 2,500",N/A,Premium,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Parquet/Laminate,Economy,m²,"150 - 250",N/A,Economy,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Parquet/Laminate,Standard,m²,"250 - 450",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Hardwood Flooring,Premium,m²,"600 - 1,500",N/A,Premium,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Vinyl/LVT Flooring,Standard,m²,"180 - 350",N/A,Standard,N/A,December 2025
Building Materials,Floor Tiles & Finishes,Vinyl/LVT Flooring,Premium,m²,"350 - 700",N/A,Premium,N/A,December 2025

Building Materials,Paint & Coating,Emulsion Paint,Economy,m²,"15 - 25",Includes material and labor for 2-3 coats,Economy,N/A,December 2025
Building Materials,Paint & Coating,Emulsion Paint,Standard,m²,"25 - 40",Includes material and labor for 2-3 coats,Standard,N/A,December 2025
Building Materials,Paint & Coating,Emulsion Paint,Premium,m²,"40 - 65",Includes material and labor for 2-3 coats,Premium,N/A,December 2025
Building Materials,Paint & Coating,Oil-Based Paint,Standard,m²,"30 - 50",Includes material and labor for 2-3 coats,Standard,N/A,December 2025
Building Materials,Paint & Coating,Oil-Based Paint,Premium,m²,"50 - 80",Includes material and labor for 2-3 coats,Premium,N/A,December 2025
Building Materials,Paint & Coating,Plastic Paint,Economy,m²,"20 - 35",Includes material and labor for 2-3 coats,Economy,N/A,December 2025
Building Materials,Paint & Coating,Plastic Paint,Standard,m²,"35 - 55",Includes material and labor for 2-3 coats,Standard,N/A,December 2025
Building Materials,Paint & Coating,Decorative Paint,Premium,m²,"60 - 120",Includes material and labor for 2-3 coats,Premium,N/A,December 2025
Building Materials,Paint & Coating,External Paint,Weather-resistant Standard,m²,"40 - 70",Includes material and labor for 2-3 coats,Standard,N/A,December 2025
Building Materials,Paint & Coating,External Paint,Weather-resistant Premium,m²,"70 - 120",Includes material and labor for 2-3 coats,Premium,N/A,December 2025

Labor Costs,Daily Wages,Unskilled Labor,N/A,day,"250 - 400",Monthly equivalent: 6,000 - 10,000 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Semi-Skilled Labor,N/A,day,"350 - 550",Monthly equivalent: 8,500 - 13,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Mason,day,"450 - 700",Monthly equivalent: 11,000 - 17,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Carpenter,day,"450 - 700",Monthly equivalent: 11,000 - 17,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Plumber,day,"450 - 700",Monthly equivalent: 11,000 - 17,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Electrician,day,"500 - 750",Monthly equivalent: 12,500 - 18,750 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Painter,day,"400 - 650",Monthly equivalent: 10,000 - 16,250 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Skilled Worker,Tiler,day,"450 - 700",Monthly equivalent: 11,000 - 17,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Steel Fixer,Rebar,day,"500 - 800",Monthly equivalent: 12,500 - 20,000 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Foreman/Supervisor,N/A,day,"600 - 1,000",Monthly equivalent: 15,000 - 25,000 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Site Engineer,N/A,day,"800 - 1,500",Monthly equivalent: 20,000 - 37,500 EGP,N/A,N/A,December 2025
Labor Costs,Daily Wages,Project Manager,N/A,day,"1,200 - 2,500",Monthly equivalent: 30,000 - 62,500 EGP,N/A,N/A,December 2025

Regional Variations,Price Multipliers,Cairo,New Administrative Capital,multiplier,"1.3 - 1.5",Highest prices, premium location,N/A,Cairo,December 2025
Regional Variations,Price Multipliers,Cairo,5th Settlement, Sheikh Zayed,multiplier,"1.2 - 1.4",High-end areas,N/A,Cairo,December 2025
Regional Variations,Price Multipliers,Cairo,Downtown, Heliopolis,multiplier,"1.1 - 1.3",Established areas,N/A,Cairo,December 2025
Regional Variations,Price Multipliers,Cairo,Outer areas,multiplier,"1.0 - 1.1",More affordable,N/A,Cairo,December 2025
Regional Variations,Price Multipliers,Giza,6th October, Sheikh Zayed,multiplier,"1.1 - 1.3",Growing areas,N/A,Giza,December 2025
Regional Variations,Price Multipliers,Alexandria,N/A,multiplier,"0.9 - 1.1",Coastal city premium,N/A,Alexandria,December 2025
Regional Variations,Price Multipliers,North Coast,N/A,multiplier,"1.2 - 1.5",Seasonal premium,N/A,North Coast,December 2025
Regional Variations,Price Multipliers,Hurghada/Red Sea,N/A,multiplier,"1.0 - 1.2",Tourist areas,N/A,Red Sea,December 2025
Regional Variations,Price Multipliers,Delta Cities,N/A,multiplier,"0.8 - 0.95",Lower labor & transport costs,N/A,Delta,December 2025
Regional Variations,Price Multipliers,Upper Egypt,N/A,multiplier,"0.75 - 0.9",Lowest costs,N/A,Upper Egypt,December 2025
Regional Variations,Price Multipliers,New Cities,Obour, Badr,multiplier,"0.85 - 1.0",Developing areas,N/A,New Cities,December 2025

Villa Specifics,Additional Items,Landscaping,Basic per 100m²,N/A,"30,000 - 60,000",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Landscaping,Premium per 100m²,N/A,"60,000 - 150,000",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Swimming Pool,8x4m (basic),N/A,"150,000 - 300,000",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Swimming Pool,10x5m (premium),N/A,"300,000 - 600,000",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Boundary Wall,2.5m high,linear m,"800 - 1,500",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Main Gate,Standard,N/A,"15,000 - 35,000",N/A,N/A,N/A,December 2025
Villa Specifics,Additional Items,Main Gate,Premium/Automated,N/A,"35,000 - 80,000",N/A,N/A,N/A,December 2025

Commercial Buildings,Office Specifics,Suspended Ceiling,Mineral fiber tiles,m²,"200 - 350",N/A,N/A,N/A,December 2025
Commercial Buildings,Office Specifics,Suspended Ceiling,Gypsum board,m²,"250 - 450",N/A,N/A,N/A,December 2025
Commercial Buildings,Office Specifics,Raised Flooring,For cable management,m²,"400 - 700",N/A,N/A,N/A,December 2025
Commercial Buildings,Office Specifics,Fire Fighting System,Sprinklers, alarms, extinguishers,m²,"300 - 600",N/A,N/A,N/A,December 2025
Commercial Buildings,Office Specifics,HVAC (Central),VRF or chiller system,m²,"800 - 1,500",N/A,N/A,N/A,December 2025
Commercial Buildings,Office Specifics,Emergency Lighting,Exit signs, emergency lights,m²,"100 - 200",N/A,N/A,N/A,December 2025

Quick Reference,Cement Requirements,Foundation,N/A,kg/m²,"120 - 150",N/A,N/A,N/A,December 2025
Quick Reference,Cement Requirements,Columns & beams,N/A,kg/m²,"200 - 250",N/A,N/A,N/A,December 2025
Quick Reference,Cement Requirements,Slab,N/A,kg/m²,"80 - 100",N/A,N/A,N/A,December 2025
Quick Reference,Cement Requirements,Brick masonry,1 brick thick,kg/m²,"30 - 40",N/A,N/A,N/A,December 2025
Quick Reference,Cement Requirements,Plastering,12mm thick,kg/m²,"8 - 12",N/A,N/A,N/A,December 2025

Quick Reference,Steel Requirements,Low-rise residential,3-4 floors,kg/m²,"70 - 90",N/A,N/A,N/A,December 2025
Quick Reference,Steel Requirements,Mid-rise residential,5-8 floors,kg/m²,"90 - 120",N/A,N/A,N/A,December 2025
Quick Reference,Steel Requirements,High-rise residential,9+ floors,kg/m²,"120 - 160",N/A,N/A,N/A,December 2025
Quick Reference,Steel Requirements,Commercial buildings,N/A,kg/m²,"100 - 150",N/A,N/A,N/A,December 2025
Quick Reference,Steel Requirements,Warehouses,Light,kg/m²,"40 - 60",N/A,N/A,N/A,December 2025
